match_id,tourney_id,tourney_name,tourney_date,match_num,draw_size,tourney_level,best_of,round,minutes,player_id,player_name,seed,rank,rank_points,age,height,hand,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,1stWon_pct,WIN,surface_Clay,surface_Grass,surface_Hard
2023-0301-271,2023-0301,Auckland,20230109,271,32,A,3,R32,88.0,208103,Jiri Lehecka,8.537239324726912,78.0,685.0,21.1,185.0,0,5.0,1.0,58.0,35.0,29.0,16.0,11.0,1.0,1.0,0.8285714285714286,1,0,0,1
2023-0301-271,2023-0301,Auckland,20230109,271,32,A,3,R32,88.0,106329,Thiago Monteiro,8.537239324726912,69.0,729.0,28.6,183.0,1,7.0,0.0,65.0,39.0,30.0,9.0,10.0,6.0,8.0,0.7692307692307693,0,0,0,1
2023-0301-272,2023-0301,Auckland,20230109,272,32,A,3,R32,157.0,106218,Marcos Giron,8.537239324726912,60.0,796.0,29.4,180.0,0,3.0,1.0,121.0,86.0,49.0,20.0,17.0,5.0,10.0,0.5697674418604651,1,0,0,1
2023-0301-272,2023-0301,Auckland,20230109,272,32,A,3,R32,157.0,105948,Federico Coria,8.537239324726912,76.0,695.0,30.8,180.0,0,3.0,4.0,115.0,69.0,43.0,17.0,17.0,7.0,14.0,0.6231884057971014,0,0,0,1
2023-0301-273,2023-0301,Auckland,20230109,273,32,A,3,R32,109.0,200670,J J Wolf,8.537239324726912,66.0,746.0,24.0,183.0,0,7.0,1.0,72.0,51.0,35.0,12.0,11.0,2.0,4.0,0.6862745098039216,1,0,0,1
2023-0301-273,2023-0301,Auckland,20230109,273,32,A,3,R32,109.0,105173,Adrian Mannarino,8.0,43.0,971.0,34.5,180.0,1,7.0,2.0,71.0,41.0,27.0,16.0,11.0,5.0,8.0,0.6585365853658537,0,0,0,1
2023-0301-275,2023-0301,Auckland,20230109,275,32,A,3,R32,133.0,202385,Jenson Brooksby,8.537239324726912,48.0,920.0,22.2,188.0,0,6.0,3.0,95.0,54.0,38.0,23.0,14.0,6.0,8.0,0.7037037037037037,1,0,0,1
2023-0301-275,2023-0301,Auckland,20230109,275,32,A,3,R32,133.0,104926,Fabio Fognini,8.537239324726912,57.0,843.0,35.6,178.0,0,4.0,12.0,93.0,49.0,34.0,19.0,14.0,8.0,14.0,0.6938775510204082,0,0,0,1
2023-0301-276,2023-0301,Auckland,20230109,276,32,A,3,R32,53.0,111460,Quentin Halys,8.537239324726912,64.0,771.0,26.2,191.0,0,20.0,0.0,53.0,34.0,32.0,9.0,10.0,1.0,1.0,0.9411764705882352,1,0,0,1
2023-0301-276,2023-0301,Auckland,20230109,276,32,A,3,R32,53.0,144684,Alex Molcan,8.537239324726912,54.0,850.0,25.1,178.0,1,5.0,5.0,44.0,28.0,21.0,10.0,9.0,1.0,3.0,0.75,0,0,0,1
2023-0301-277,2023-0301,Auckland,20230109,277,32,A,3,R32,82.0,210097,Ben Shelton,8.537239324726912,92.0,584.0,20.2,193.0,1,9.0,1.0,51.0,34.0,28.0,12.0,9.0,2.0,2.0,0.8235294117647058,1,0,0,1
