match_id,tourney_id,tourney_name,tourney_date,match_num,draw_size,tourney_level,best_of,round,minutes,player_id,player_name,seed,rank,rank_points,age,height,hand,ace,df,svpt,1stIn,1stWon,2ndWon,SvGms,bpSaved,bpFaced,1stWon_pct,WIN,surface_Clay,surface_Grass,surface_Hard
2023-1003-271,2023-1003,Doha,20230213,271,32,P,3,R32,77.0,211533,Jelena Ostapenko,9.024390243902438,-0.5796858364218055,2210.0,25.6,177.0,0,4.0,4.0,56.0,29.0,24.0,15.0,10.0,2.0,3.0,0.8275862068965517,1,0,0,1
2023-1003-271,2023-1003,Doha,20230213,271,32,P,3,R32,77.0,201619,Madison Keys,9.024390243902438,-0.5778208939104434,1668.0,27.9,178.0,0,3.0,2.0,72.0,47.0,29.0,9.0,10.0,1.0,5.0,0.6170212765957447,0,0,0,1
2023-1003-272,2023-1003,Doha,20230213,272,32,P,3,R32,123.0,206242,Beatriz Haddad Maia,9.024390243902438,-0.6066252577896898,2285.0,26.7,185.0,1,1.0,2.0,91.0,70.0,41.0,12.0,11.0,7.0,10.0,0.5857142857142857,1,0,0,1
2023-1003-272,2023-1003,Doha,20230213,272,32,P,3,R32,123.0,211651,Paula Badosa,9.024390243902438,-0.6027374733525623,1862.0,25.2,180.0,0,3.0,5.0,66.0,35.0,24.0,11.0,10.0,2.0,6.0,0.6857142857142857,0,0,0,1
2023-1003-273,2023-1003,Doha,20230213,273,32,P,3,R32,101.0,214082,Daria Kasatkina,6.0,-0.6605041005254584,3425.0,25.7,170.0,0,0.0,6.0,75.0,54.0,32.0,8.0,10.0,4.0,8.0,0.5925925925925926,1,0,0,1
2023-1003-273,2023-1003,Doha,20230213,273,32,P,3,R32,101.0,201606,Rebecca Marino,9.024390243902438,-0.1459335169137148,829.0,32.1,183.0,0,1.0,4.0,80.0,52.0,24.0,13.0,10.0,9.0,15.0,0.4615384615384615,0,0,0,1
2023-1003-275,2023-1003,Doha,20230213,275,32,P,3,R32,79.0,214096,Karolina Muchova,9.024390243902438,0.8885126281278892,546.0,26.4,178.0,0,6.0,0.0,47.0,30.0,23.0,12.0,8.0,2.0,2.0,0.7666666666666667,1,0,0,1
2023-1003-275,2023-1003,Doha,20230213,275,32,P,3,R32,79.0,203354,Martina Trevisan,9.024390243902438,-0.5612098409490308,1558.0,29.2,160.0,1,0.0,3.0,49.0,33.0,19.0,6.0,8.0,6.0,10.0,0.5757575757575758,0,0,0,1
2023-1003-276,2023-1003,Doha,20230213,276,32,P,3,R32,52.0,206420,Ekaterina Alexandrova,9.024390243902438,-0.5258069936860369,2005.0,28.2,175.0,0,10.0,4.0,53.0,35.0,26.0,10.0,8.0,4.0,5.0,0.7428571428571429,1,0,0,1
2023-1003-276,2023-1003,Doha,20230213,276,32,P,3,R32,52.0,201662,Karolina Pliskova,9.024390243902438,-0.6110429998332687,1910.0,30.8,184.0,0,1.0,4.0,40.0,27.0,17.0,0.0,7.0,2.0,7.0,0.6296296296296297,0,0,0,1
2023-1003-277,2023-1003,Doha,20230213,277,32,P,3,R32,129.0,206289,Maria Sakkari,5.0,-0.6739738112094006,3616.0,27.5,172.0,0,7.0,1.0,73.0,47.0,35.0,15.0,13.0,3.0,5.0,0.7446808510638298,1,0,0,1
2023-1003-277,2023-1003,Doha,20230213,277,32,P,3,R32,129.0,221012,Qinwen Zheng,9.024390243902438,-0.5695153674297371,1599.0,20.3,174.55169772785294,0,7.0,4.0,87.0,45.0,27.0,22.0,13.0,3.0,7.0,0.6,0,0,0,1
2023-1003-278,2023-1003,Doha,20230213,278,32,P,3,R32,180.0,206368,Veronika Kudermetova,8.0,-0.6200949684736319,2740.0,25.8,175.0,0,7.0,3.0,118.0,76.0,56.0,19.0,15.0,8.0,10.0,0.7368421052631579,1,0,0,1
2023-1003-278,2023-1003,Doha,20230213,278,32,P,3,R32,180.0,206252,Barbora Krejcikova,9.024390243902438,-0.5279877350262056,1464.0,27.1,178.0,0,6.0,3.0,106.0,57.0,42.0,26.0,16.0,9.0,11.0,0.7368421052631579,0,0,0,1
2023-1003-279,2023-1003,Doha,20230213,279,32,P,3,R32,89.0,213550,Sofia Kenin,9.024390243902438,2.060377457630856,323.0,24.2,170.0,0,1.0,0.0,75.0,60.0,33.0,10.0,8.0,13.0,15.0,0.55,1,0,0,1
2023-1003-279,2023-1003,Doha,20230213,279,32,P,3,R32,89.0,214643,Liudmila Samsonova,9.024390243902438,-0.644265105756094,2209.0,24.2,180.0,0,2.0,2.0,51.0,19.0,8.0,12.0,8.0,3.0,9.0,0.4210526315789473,0,0,0,1
2023-1003-280,2023-1003,Doha,20230213,280,32,P,3,R32,75.0,201520,Petra Kvitova,9.024390243902438,-0.5931555471057476,2227.0,32.9,183.0,1,8.0,3.0,54.0,32.0,27.0,10.0,10.0,2.0,4.0,0.84375,1,0,0,1
2023-1003-280,2023-1003,Doha,20230213,280,32,P,3,R32,75.0,201533,Shuai Zhang,9.024390243902438,-0.5861264203911497,1710.0,34.0,177.0,0,1.0,5.0,63.0,36.0,20.0,12.0,10.0,6.0,11.0,0.5555555555555556,0,0,0,1
2023-1003-282,2023-1003,Doha,20230213,282,32,P,3,R32,58.0,202505,Belinda Bencic,7.0,-0.6470343898415163,3275.0,25.9,175.0,0,4.0,2.0,45.0,32.0,24.0,7.0,7.0,3.0,3.0,0.75,1,0,0,1
2023-1003-282,2023-1003,Doha,20230213,282,32,P,3,R32,58.0,202600,Viktoriya Tomova,9.024390243902438,0.0617046451039431,655.0,27.9,170.0,0,0.0,3.0,43.0,25.0,13.0,2.0,6.0,4.0,9.0,0.52,0,0,0,1
2023-1003-283,2023-1003,Doha,20230213,283,32,P,3,R32,67.0,201458,Victoria Azarenka,9.024390243902438,-0.539276704369979,2138.0,33.5,180.0,0,0.0,1.0,40.0,28.0,22.0,6.0,7.0,2.0,3.0,0.7857142857142857,1,0,0,1
2023-1003-283,2023-1003,Doha,20230213,283,32,P,3,R32,67.0,213998,Ipek Oz,9.024390243902438,0.8590351872517497,338.0,23.6,174.55169772785294,0,0.0,1.0,44.0,34.0,11.0,4.0,7.0,3.0,9.0,0.3235294117647059,0,0,0,1
2023-1003-284,2023-1003,Doha,20230213,284,32,P,3,R32,116.0,203389,Danielle Collins,9.024390243902438,-0.2025339372714252,1219.0,29.1,178.0,0,6.0,9.0,72.0,39.0,29.0,15.0,11.0,2.0,6.0,0.7435897435897436,1,0,0,1
2023-1003-284,2023-1003,Doha,20230213,284,32,P,3,R32,116.0,210722,Elise Mertens,9.024390243902438,-0.4615435231805549,1294.0,27.2,179.0,0,10.0,9.0,77.0,39.0,25.0,14.0,11.0,4.0,9.0,0.6410256410256411,0,0,0,1
2023-1003-286,2023-1003,Doha,20230213,286,32,P,3,R16,112.0,202468,Jessica Pegula,2.0,-0.714382943261227,5000.0,28.9,170.0,0,0.0,5.0,99.0,57.0,35.0,23.0,14.0,8.0,11.0,0.6140350877192983,1,0,0,1
2023-1003-286,2023-1003,Doha,20230213,286,32,P,3,R16,112.0,211533,Jelena Ostapenko,9.024390243902438,-0.6525706322368003,2210.0,25.6,177.0,0,5.0,6.0,85.0,57.0,36.0,14.0,14.0,2.0,6.0,0.631578947368421,0,0,0,1
2023-1003-287,2023-1003,Doha,20230213,287,32,P,3,R16,100.0,206242,Beatriz Haddad Maia,9.024390243902438,-0.6066252577896898,2285.0,26.7,185.0,1,0.0,4.0,59.0,46.0,31.0,6.0,10.0,0.0,3.0,0.6739130434782609,1,0,0,1
2023-1003-287,2023-1003,Doha,20230213,287,32,P,3,R16,100.0,214082,Daria Kasatkina,6.0,-0.7024037911210382,3425.0,25.7,170.0,0,1.0,3.0,70.0,51.0,29.0,9.0,11.0,1.0,6.0,0.5686274509803921,0,0,0,1
2023-1003-288,2023-1003,Doha,20230213,288,32,P,3,R16,180.0,201614,Caroline Garcia,3.0,-0.7009132325772849,4795.0,29.3,177.0,0,10.0,4.0,108.0,71.0,53.0,19.0,17.0,1.0,2.0,0.7464788732394366,1,0,0,1
2023-1003-288,2023-1003,Doha,20230213,288,32,P,3,R16,180.0,214096,Karolina Muchova,9.024390243902438,0.2527317541601884,546.0,26.4,178.0,0,12.0,4.0,119.0,73.0,51.0,27.0,17.0,13.0,16.0,0.6986301369863014,0,0,0,1
2023-1003-289,2023-1003,Doha,20230213,289,32,P,3,R16,81.0,206289,Maria Sakkari,5.0,-0.6739738112094006,3616.0,27.5,172.0,0,5.0,2.0,58.0,30.0,20.0,17.0,9.0,2.0,3.0,0.6666666666666666,1,0,0,1
