player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,rank
100644,Alexander,Zverev,R,19970420.0,GER,198.0,Q13990552,2
104792,Gael,Monfils,R,19860901.0,FRA,193.0,Q186429,55
104925,Novak,Djokovic,R,19870522.0,SRB,188.0,Q5812,6
104926,Fabio,Fognini,R,19870524.0,ITA,178.0,Q251980,83
105138,Roberto,Bautista Agut,R,19880414.0,ESP,183.0,Q966542,46
105173,Adrian,Mannarino,L,19880629.0,FRA,183.0,Q373522,68
105526,Jan Lennard,Struff,R,19900425.0,GER,193.0,Q1681537,43
105583,Dusan,Lajovic,R,19900630.0,SRB,180.0,Q551295,82
105676,David,Goffin,R,19901207.0,BEL,180.0,Q19406,52
105777,Grigor,Dimitrov,R,19910516.0,BUL,188.0,Q337681,10
105870,Yannick,Hanfmann,R,19911113.0,GER,193.0,Q29628209,95
105902,James,Duckworth,R,19920121.0,AUS,183.0,Q1336011,77
105916,Marton,Fucsovics,R,19920208.0,HUN,188.0,Q649333,100
106121,Taro,Daniel,R,19930127.0,JPN,191.0,Q15714673,84
106148,Roberto,Carballes Baena,R,19930323.0,ESP,183.0,Q16146051,57
106218,Marcos,Giron,R,19930724.0,USA,180.0,Q17478053,47
106298,Lucas,Pouille,R,19940223.0,FRA,185.0,Q13403768,98
106329,Thiago,Monteiro,L,19940531.0,BRA,183.0,Q16301147,99
106331,Christopher,Oconnell,R,19940603.0,AUS,183.0,Q28151675,66
106415,Yoshihito,Nishioka,L,19950927.0,JPN,170.0,Q16735453,72
106421,Daniil,Medvedev,R,19960211.0,RUS,198.0,Q21622022,4
106423,Thanasi,Kokkinakis,R,19960410.0,AUS,196.0,Q3784554,79
106432,Borna,Coric,R,19961114.0,CRO,188.0,Q14905846,97
111190,Zhizhen,Zhang,R,19961016.0,CHN,193.0,Q21623382,45
111442,Jordan,Thompson,R,19940420.0,AUS,183.0,Q16219277,26
111460,Quentin,Halys,R,19961026.0,FRA,191.0,Q18001228,73
111575,Karen,Khachanov,R,19960521.0,RUS,198.0,Q16568576,19
111576,Sumit,Nagal,R,19970816.0,IND,178.0,Q20665358,93
111797,Nicolas,Jarry,R,19951011.0,CHI,198.0,Q16466282,36
111815,Cameron,Norrie,L,19950823.0,GBR,188.0,Q23668736,50
122298,Botic,Van De Zandschulp,R,19951004.0,NED,188.0,Q28038578,81
122330,Alexander,Bublik,R,19970617.0,KAZ,196.0,Q23678983,34
124079,Pedro,Martinez,R,19970426.0,ESP,185.0,Q52063672,42
124116,Sebastian,Ofner,R,19960512.0,AUT,191.0,Q31171456,87
124186,Alexandre,Muller,R,19970201.0,FRA,183.0,Q29960092,70
126094,Andrey,Rublev,R,19971020.0,RUS,188.0,Q17373391,8
126127,Benjamin,Bonzi,R,19960609.0,FRA,185.0,Q18125349,78
126128,Roman,Safiullin,R,19970807.0,RUS,185.0,Q18637944,60
126203,Taylor,Fritz,R,19971028.0,USA,193.0,Q17660516,5
126205,Tommy,Paul,R,19970517.0,USA,185.0,Q20050871,12
126207,Frances,Tiafoe,R,19980120.0,USA,188.0,Q17305299,18
126214,Alejandro,Tabilo,L,19970602.0,CHI,188.0,Q65159701,22
126239,Arthur,Rinderknech,R,19950723.0,FRA,196.0,Q54007388,59
126610,Matteo,Berrettini,R,19960412.0,ITA,196.0,Q29918446,35
126774,Stefanos,Tsitsipas,R,19980812.0,GRE,193.0,Q24450982,11
126846,Aleksandar,Vukic,R,19960406.0,AUS,188.0,Q47090843,71
127157,Daniel,Altmaier,R,19980912.0,GER,191.0,Q30005211,88
128034,Hubert,Hurkacz,R,19970211.0,POL,196.0,Q18927958,16
132283,Lorenzo,Sonego,R,19950511.0,ITA,191.0,Q24061220,53
132686,Nuno,Borges,R,19970219.0,POR,185.0,Q106238976,33
133430,Denis,Shapovalov,L,19990415.0,CAN,185.0,Q20979382,56
134770,Casper,Ruud,R,19981222.0,NOR,183.0,Q18810082,7
134868,Tallon,Griekspoor,R,19960702.0,NED,188.0,Q28777443,40
136440,Dominik,Koepfer,L,19940429.0,GER,180.0,Q37535155,96
144719,Jaume,Munar,R,19970505.0,ESP,183.0,Q17274717,63
144869,Tomas Martin,Etcheverry,R,19990718.0,ARG,196.0,Q104728520,39
144895,Corentin,Moutet,L,19990419.0,FRA,178.0,Q30078104,69
200000,Felix,Auger Aliassime,R,20000808.0,CAN,193.0,Q20752045,29
200005,Ugo,Humbert,L,19980626.0,FRA,188.0,Q54007306,14
200175,Miomir,Kecmanovic,R,19990831.0,SRB,183.0,Q22005752,54
200221,Alejandro,Davidovich Fokina,R,19990605.0,ESP,183.0,Q33084529,62
200267,Zizou,Bergs,R,19990603.0,BEL,185.0,Q100700157,61
200282,Alex,De Minaur,R,19990217.0,AUS,183.0,Q22958938,9
