player_id,name_first,name_last,hand,dob,ioc,height,wikidata_id,rank,points,tours
201458,Victoria,Azarenka,R,19890731.0,BLR,180.0,Q10118,23,1916,21
201499,Anastasia,Pavlyuchenkova,R,19910703.0,RUS,177.0,Q487182,60,1045,17
201514,Sorana,Cirstea,R,19900407.0,ROU,176.0,Q230242,26,1800,23
201518,Yanina,Wickmayer,R,19891020.0,BEL,182.0,Q228983,67,949,21
201520,Petra,Kvitova,L,19900308.0,CZE,183.0,Q30812,17,2715,17
201549,Petra,Martic,R,19910119.0,CRO,181.0,Q232553,41,1264,20
201551,Arantxa,Rus,L,19901213.0,NED,180.0,Q239758,51,1149,28
201585,Sloane,Stephens,R,19930320.0,USA,170.0,Q54670,44,1200,21
201593,Irina Camelia,Begu,R,19900826.0,ROU,181.0,Q239751,79,888,15
201614,Caroline,Garcia,R,19931016.0,FRA,177.0,Q258877,20,2330,27
201615,Lesia,Tsurenko,R,19890530.0,UKR,174.0,Q289378,32,1451,19
201616,Lauren,Davis,R,19931009.0,USA,157.0,Q53405,72,935,22
201619,Madison,Keys,R,19950217.0,USA,178.0,Q34403,13,2818,18
201662,Karolina,Pliskova,R,19920321.0,CZE,184.0,Q289365,39,1287,21
201696,Laura,Siegemund,R,19880304.0,GER,168.0,Q89128,92,814,16
201709,Yulia,Putintseva,R,19950107.0,KAZ,163.0,Q2429984,63,1002,25
202429,Camila,Giorgi,R,19911230.0,ITA,168.0,Q34248,55,1089,19
202460,Ons,Jabeur,R,19940828.0,TUN,167.0,Q290212,6,4260,21
202468,Jessica,Pegula,R,19940224.0,USA,170.0,Q24159,5,6180,20
202494,Elina,Svitolina,R,19940912.0,UKR,174.0,Q270249,25,1809,13
202499,Donna,Vekic,R,19960628.0,CRO,179.0,Q648854,24,1905,21
202505,Belinda,Bencic,R,19970310.0,SUI,175.0,Q509903,19,2572,17
202536,Ana,Bogdan,R,19921125.0,ROU,171.0,Q3614850,66,956,23
202600,Viktoriya,Tomova,R,19950225.0,BUL,170.0,Q10996110,75,906,28
202663,Magda,Linette,R,19920212.0,POL,171.0,Q722311,22,1921,24
202684,Lin,Zhu,R,19940128.0,CHN,173.0,Q17319111,33,1420,25
203354,Martina,Trevisan,L,19931103.0,ITA,160.0,Q28758348,46,1189,23
203389,Danielle,Collins,R,19931213.0,USA,178.0,Q17523802,54,1090,19
203501,Taylor,Townsend,L,19960416.0,USA,170.0,Q766964,82,870,19
203530,Viktorija,Golubic,R,19921016.0,SUI,169.0,Q7929924,85,836,22
203533,Anna Karolina,Schmiedlova,R,19940913.0,SVK,176.0,Q138094,73,918,23
204427,Sara,Sorribes Tormo,R,19961008.0,ESP,176.0,Q17750103,53,1126,16
205925,Aliaksandra,Sasnovich,R,19940322.0,BLR,174.0,Q4725560,86,831,26
206219,Oceane,Dodin,R,19961024.0,FRA,,Q18328123,94,798,31
206242,Beatriz,Haddad Maia,L,19960530.0,BRA,185.0,Q2380901,11,2940,23
206252,Barbora,Krejcikova,R,19951218.0,CZE,178.0,Q11052500,10,2945,21
206289,Maria,Sakkari,R,19950725.0,GRE,172.0,Q6761562,8,3785,24
206294,Yue,Yuan,R,19980925.0,CHN,184.0,,77,903,30
206368,Veronika,Kudermetova,R,19970424.0,RUS,175.0,Q14618664,16,2720,25
206408,Nadia,Podoroska,R,19970210.0,ARG,170.0,Q16496064,62,1009,29
206420,Ekaterina,Alexandrova,R,19941115.0,RUS,175.0,Q23719121,21,2075,24
210722,Elise,Mertens,R,19951117.0,BEL,179.0,Q17381675,30,1506,23
210886,Mayar,Sherif,R,19960505.0,EGY,180.0,Q19577829,59,1053,27
211095,Bernarda,Pera,L,19941203.0,USA,175.0,Q13850958,69,943,23
211107,Katie,Boulter,R,19960801.0,GBR,180.0,Q16979848,57,1075,22
211148,Jasmine,Paolini,R,19960104.0,ITA,160.0,Q19973674,29,1530,29
211337,Tamara,Korpatsch,R,19950512.0,GER,170.0,Q19924597,83,847,29
211533,Jelena,Ostapenko,R,19970608.0,LAT,177.0,Q5551564,12,2830,23
211651,Paula,Badosa,R,19971115.0,ESP,180.0,Q19560013,68,947,14
211684,Magdalena,Frech,R,19971215.0,POL,171.0,Q10636559,70,937,29
211701,Katerina,Siniakova,R,19960510.0,CZE,174.0,Q3720044,50,1162,21
211702,Nao,Hibino,R,19941128.0,JPN,163.0,Q18210941,93,799,27
211713,Jaqueline,Cristian,R,19980605.0,ROU,180.0,Q20676333,87,831,30
211765,Emina,Bektas,R,19930330.0,USA,,Q26728090,91,820,22
211843,Anhelina,Kalinina,R,19970207.0,UKR,179.0,Q15642606,27,1630,26
213550,Sofia,Kenin,R,19981114.0,USA,170.0,Q18679122,37,1334,20
213583,Tatjana,Maria,R,19870808.0,GER,172.0,Q57942,43,1215,33
213631,Marie,Bouzkova,R,19980721.0,CZE,180.0,Q18003204,36,1353,24
213710,Cristina,Bucsa,R,19980101.0,ESP,,Q56702741,61,1023,30
213889,Greet,Minnen,R,19970814.0,BEL,,Q23059523,64,999,20
214082,Daria,Kasatkina,R,19970507.0,RUS,170.0,Q17144642,18,2715,25
214096,Karolina,Muchova,R,19960821.0,CZE,178.0,Q23661750,9,3650,15
214119,Rebeka,Masarova,R,19990806.0,ESP,186.0,Q24333000,65,982,22
214452,Caroline,Dolehide,R,19980905.0,USA,178.0,Q34114014,45,1193,26
214459,Lucia,Bronzetti,R,19981210.0,ITA,,Q90569642,52,1137,30
214544,Aryna,Sabalenka,R,19980505.0,BLR,182.0,Q23448791,2,9050,16
214643,Liudmila,Samsonova,R,19981111.0,RUS,180.0,Q26416429,15,2760,24
214839,Jodie,Burrage,R,19990528.0,GBR,,Q64374288,99,766,24
214906,Claire,Liu,R,20000525.0,USA,170.0,Q20898017,95,797,28
214939,Anna,Kalinskaya,R,19981202.0,RUS,175.0,Q20088944,80,887,21
214954,Marketa,Vondrousova,L,19990628.0,CZE,173.0,Q18918709,7,4046,16
214981,Elena,Rybakina,R,19990617.0,KAZ,184.0,Q42055714,4,6366,18
215020,Anna,Blinkova,R,19980910.0,RUS,179.0,Q20676027,48,1170,28
215035,Dayana,Yastremska,R,20000515.0,UKR,175.0,Q23888026,98,767,29
215037,Kayla,Day,L,19990928.0,USA,173.0,Q26696206,89,825,25
215370,Bianca,Andreescu,R,20000616.0,CAN,170.0,Q22957410,100,765,17
215613,Emma,Navarro,R,20010518.0,USA,,Q62675797,31,1480,29
215713,Anastasia,Potapova,R,20010330.0,RUS,175.0,Q24955766,28,1611,21
215785,Camila,Osorio,R,20011222.0,COL,162.0,Q29052147,81,876,21
215872,Kamilla,Rakhimova,R,20010828.0,RUS,,Q65769637,96,793,29
216016,Xiyu,Wang,L,20010328.0,CHN,,Q41799108,71,937,26
216133,Xin Yu,Wang,R,20010926.0,CHN,182.0,Q44465805,35,1383,24
216146,Marta,Kostyuk,R,20020628.0,UKR,175.0,Q28535267,38,1316,22
216262,Clara,Burel,R,20010324.0,FRA,176.0,Q54086890,56,1081,20
216347,Iga,Swiatek,R,20010531.0,POL,176.0,Q26840238,1,9505,19
219875,Varvara,Gracheva,R,20000802.0,FRA,,Q50332038,42,1248,27
219917,Alycia,Parks,R,20001231.0,USA,185.0,Q105745525,84,838,28
